file_base,cluster,time_min,cytokine,TSNE1,TSNE2
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_10min.fcs,19,10,CD3,-23.1945389315338,-25.4355391095755
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_10min.fcs,1,10,CD3,-29.4694830196436,-17.6393979221862
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_10min.fcs,6,10,CD3,-37.9908693982345,-14.376422633749
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_10min.fcs,16,10,CD3,-29.4527047220212,-20.3852215915754
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_10min.fcs,8,10,CD3,-41.5002909073625,-12.9024173535403
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_10min.fcs,15,10,CD3,-31.8758698907383,-18.3722103120253
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_10min.fcs,3,10,CD3,-40.3230837627012,-13.2473289966068
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_10min.fcs,12,10,CD3,-37.1058298973687,-13.5232091696701
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_10min.fcs,14,10,CD3,-30.2209242011927,-20.2274640070125
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_10min.fcs,11,10,CD3,-36.235284506807,-13.3220153063025
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_10min.fcs,9,10,CD3,-37.7391688298626,-13.7773162133972
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_10min.fcs,10,10,CD3,-40.4838327682549,-13.2628012905347
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_10min.fcs,5,10,CD3,-39.9127283681294,-10.9085517723497
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_10min.fcs,4,10,CD3,8.87363335355006,-19.9275814573866
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_10min.fcs,2,10,CD3,-35.3623694968602,-14.2286951735302
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_10min.fcs,17,10,CD3,-41.0370095248075,-11.9985023298487
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_10min.fcs,20,10,CD3,-2.88679849837684,-42.0497598991195
